NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
41,6/08/2020-9/08/2020,Aug 7 2020,7fed5534eb921d3f64cbf78ffaaa4f473240ea0c,    refactor: add method info caching to speed up initial loading,completed: 565 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/7fed5534eb921d3f64cbf78ffaaa4f473240ea0c
42,5/08/2020-6/08/2020,Aug 6 2020,1560284831aec19433043f9b818fe4daf46ef607,    refactor: fix zip security in dex plugin, remove smali deps from jadx-core,completed: 565 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/1560284831aec19433043f9b818fe4daf46ef607
44,2/08/2020-4/08/2020,Aug 3 2020,ae265126018f27b3277804eb3b115fbe9cdd8bfd,    fix: use internal usage info for rename, fix index refresh (#791),completed: 562 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/ae265126018f27b3277804eb3b115fbe9cdd8bfd
46,20/07/2020-31/07/2020,Jul 30 2020,bcd6e537e00c20086fb45b9e0e45c87e82671125,    fix: correct parsing for array-data-payload,completed: 558 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/bcd6e537e00c20086fb45b9e0e45c87e82671125
49,5/07/2020-13/07/2020,Jul 11 2020,c616b5b03b1b29f370d2d003d8de5619b344ffb0,    build: resolve gradle deprecation warnings,completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c616b5b03b1b29f370d2d003d8de5619b344ffb0
49,5/07/2020-13/07/2020,Jul 10 2020,3e9f4a50606a3cfd3abfd1e9feda9bda67285647,    fix: improve limit calculation for type updates in type inference (#854),completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/3e9f4a50606a3cfd3abfd1e9feda9bda67285647
49,5/07/2020-13/07/2020,Jul 5 2020,31434186ab33fa5b47b0cd584d073be6fbc67547,    fix: improve boolean type handling in type inference,completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/31434186ab33fa5b47b0cd584d073be6fbc67547
49,5/07/2020-13/07/2020,Jul 5 2020,e81ba1c431b5152800df8f70b7484a8824a070b1,    build: fix latest java version for gitlab build,completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e81ba1c431b5152800df8f70b7484a8824a070b1
49,5/07/2020-13/07/2020,Jul 5 2020,b219ab607fbe35f3bca74695e1e3ce174787a1e6,    fix: exclude directories from dex convertion results,completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/b219ab607fbe35f3bca74695e1e3ce174787a1e6
50,3/07/2020-5/07/2020,Jul 3 2020,99569c52ac66921865436d0fbb9f7eec012de3a2,    docs: fixed grammar slightly (PR #957),completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/99569c52ac66921865436d0fbb9f7eec012de3a2
51,6/06/2020-3/07/2020,Jul 3 2020,f696dc715b9a49e562736c3039f06b90adcf766c,    fix(gui): update Messages_zh_CN.properties (PR #959),completed: 555 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/f696dc715b9a49e562736c3039f06b90adcf766c
